Обращение,Вр__создания_обращения,Вр__создания_обращения_с_учетом_ЗО_инициатора,ВРЕМЯ_ЗАКРЫТИЯ,IP_адрес,РПА,Доля,ТЗ,Порядок,Объект,Наряд,Направление_РГ,Рабочая_группа,Исполнитель,Полигон_инициатора,ФИО,Подразделение_инициатора,Способ_обращения,Причина_обращения,АСОЗ,ВП,ОСК,Услуга,ЭК_запроса_наряда,Направление_проблем,ЭК_робота,Код_мероприятия_РРО,Шаблон_запроса,ВОЗВРАЩЕНО,ВОЗВРАЩЕНО_ОШИБОЧНО,КРАТКОЕ_ОПИСАНИЕ,ПОДРОБНОЕ_ОПИСАНИЕ,РЕШЕНИЕ
ОБР25-06122636,28.05.2025 8:03:15,28.05.2025 12:03:15,,,сотрудник,"1,00",14.0,1,ЗАП25-05137026,дочерний объект,Направление ЦТС ИНФР,БД-ПП,Чашкин Леонид Борисович,Красноярская ЖД,Иванов Иван Иванович,АФТО-КРАСНОЯРСК-КРАСН,телефон,Технологическая консультация в рамках инструкции,,,,09.02 КАСАНТ,КАСАНТ,направление цтс пик (бд),ИИ-ЦРТ-КАСАНТ-КАСАТ-ТС-0005-ОБЩЕЕ,ПИК-ИИ-РПА-0088,ЦТС-КОНСУЛЬТАЦИЯ ПО ДРУГИМ ВОПРОСАМ КАСАНТ,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06166589,29.05.2025 5:32:35,29.05.2025 8:32:35,,,сотрудник,"1,00",27.0,1,ЗАП25-05172376,дочерний объект,Направление ЦТС ИНФР,БД-ПП,Чашкин Леонид Борисович,Западно-Сибирская ЖД,Иванов Иван Иванович,ДТ-ТЧ-3-БАРАБИНСК-ЭКСПЛУАТАЦИЯ-ЗСИБ,Чат бот помощник,Технологическая консультация в рамках инструкции,,,да,09.03 АСУТ-НБД,АСУТ-НБД,направление цтс пик (бд),ИИ-ЦРТ-АСУТ-НБД-КОНСУЛЬТАЦИЯ-ТС-0001-ОБЩЕЕ,ИИ-ЦТС-ИНФР-0052,ЦТС-ПИК-ЧАТ-БОТ-ПОЛУЧИТЬ-ССЫЛКУ-АСУТ-НБД,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06167704,29.05.2025 6:19:04,29.05.2025 10:19:04,,,сотрудник,"1,00",25.0,1,ЗАП25-05173172,дочерний объект,Направление ЦТС ИНФР,БД-ПП,Чашкин Леонид Борисович,Красноярская ЖД,Иванов Иван Иванович,ДЦС-АБАК-КРАСН,электронная почта,Установка/Настройка АС на РМ,,,,09.03 АС РБ КР,АС-РБ-КР,направление цтс пик (бд),,,ЦТС-КОНСУЛЬТАЦИЯ ПО АС РБ КР,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06207022,29.05.2025 17:57:12,29.05.2025 17:57:12,,,сотрудник,"1,00",57.0,1,ЗАП25-05204705,дочерний объект,Направление ЦТС ИНФР,ИЖТ-ПП-В,Чашкин Леонид Борисович,Октябрьская ЖД,Иванов Иван Иванович,ДИ-ОКТ,телефон,Методологический вопрос,,,,06.05 МРМ ВХ,МРМ-ВХ,направление цтс пик (вх),,,ЦТС-ИНФР-ПРОБЛЕМЫ С ЗАГРУЗКОЙ МРМ ВХ,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06214196,30.05.2025 1:59:37,30.05.2025 8:59:37,,,сотрудник,"0,38",55.0,1,ЗАП25-05209842,дочерний объект,Направление ЦТС ИНФР,ИЖТ-ПП-В,Чашкин Леонид Борисович,Дальневосточная ЖД,Иванов Иван Иванович,ВЧДЭ-4-ДВС,Чат бот помощник,Технологическая консультация в рамках инструкции,,,,06.05 ЕК АСУВ,ЕК-АСУВ,направление цтс пик (вх),ИИ-ЦРТ-ЕКАСУВ-ОТЧЕТ-ТС-0001-ОБЩЕЕ,ИИ-ЦТС-ИНФР-0079,ЦТС-ИНФР-ЧАТ-БОТ-КОНСУЛЬТАЦИЯ-ПО-ОШИБКЕ-ПРИ-ВЫГРУЗКЕ-ОТЧЕТОВ-ЕК-АСУВ,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06214196,30.05.2025 1:59:37,30.05.2025 8:59:37,,,сотрудник,"0,51",74.0,2,ЗАП25-05209955,связанный наряд,Направление ЦТС ИНФР,ИЖТ-ЭКС-В,Чашкин Леонид Борисович,Дальневосточная ЖД,Иванов Иван Иванович,ВЧДЭ-4-ДВС,,-,,,,06.05 ЕК АСУВ,ЕК-АСУВ,направление цтс пик (вх),,,,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06214196,30.05.2025 1:59:37,30.05.2025 8:59:37,,,сотрудник,"0,11",16.0,3,ЗАП25-05253891,связанный наряд,Направление ЦТС ИНФР,ИЖТ-ПП-В,Чашкин Леонид Борисович,Дальневосточная ЖД,Иванов Иван Иванович,ВЧДЭ-4-ДВС,,-,,,,06.05 ЕК АСУВ,ЕК-АСУВ,направление цтс пик (вх),,,,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06238218,30.05.2025 11:51:41,30.05.2025 11:51:41,,,сотрудник,"1,00",18.0,1,ЗАП25-05228745,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-ВОЛГА,Чашкин Леонид Борисович,Горьковская ЖД,Иванов Иван Иванович,УГЖД-ГОР,Чат бот помощник,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),ИИ-ЦРТ-РЕГ-ОБР-С-ВЛОЖЕНИЕМ-НА-РАБОТУ-С-ЭТТ-ТС-0001-ОБЩЕЕ,ПИК-ИИ-РПА-0208,ВОЛГА-ЦТС-ПИК-ЭТТ-НСИ-АСУ-ЭКСПРЕСС-ОТКР-ЧБП,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06239206,30.05.2025 12:11:42,30.05.2025 12:11:42,,,сотрудник,"1,00",18.0,1,ЗАП25-05229471,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-ВОЛГА,Чашкин Леонид Борисович,Горьковская ЖД,Иванов Иван Иванович,УГЖД-ГОР,Чат бот помощник,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),ИИ-ЦРТ-РЕГ-ОБР-С-ВЛОЖЕНИЕМ-НА-РАБОТУ-С-ЭТТ-ТС-0001-ОБЩЕЕ,ПИК-ИИ-РПА-0208,ВОЛГА-ЦТС-ПИК-ЭТТ-НСИ-АСУ-ЭКСПРЕСС-ОТКР-ЧБП,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06241169,30.05.2025 13:08:01,30.05.2025 13:08:01,,,сотрудник,"1,00",18.0,1,ЗАП25-05230934,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-ВОЛГА,Чашкин Леонид Борисович,Горьковская ЖД,Иванов Иван Иванович,УГЖД-ГОР,Чат бот помощник,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),ИИ-ЦРТ-РЕГ-ОБР-С-ВЛОЖЕНИЕМ-НА-РАБОТУ-С-ЭТТ-ТС-0001-ОБЩЕЕ,ПИК-ИИ-РПА-0208,ВОЛГА-ЦТС-ПИК-ЭТТ-НСИ-АСУ-ЭКСПРЕСС-ОТКР-ЧБП,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06241548,30.05.2025 13:15:46,30.05.2025 15:15:46,,,сотрудник,"1,00",18.0,1,ЗАП25-05231228,дочерний объект,Направление ЦТС ИНФР,БД-ПП,Чашкин Леонид Борисович,Свердловская ЖД,Иванов Иван Иванович,ТЦФТО-СВРД,Чат бот помощник,Ведение учетных записей,,,,09.02 КАСАНТ,КАСАНТ,направление цтс пик (бд),ИИ-ЦРТ-КАСАНТ-КАСАТ-ТС-0005-ОБЩЕЕ,ПИК-ИИ-РПА-0088,ЦТС-КОНСУЛЬТАЦИЯ ПО ДРУГИМ ВОПРОСАМ КАСАНТ,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06242225,30.05.2025 13:30:41,30.05.2025 13:30:41,,,сотрудник,"1,00",18.0,1,ЗАП25-05231768,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-ВОЛГА,Чашкин Леонид Борисович,Горьковская ЖД,Иванов Иван Иванович,УГЖД-ГОР,Чат бот помощник,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),ИИ-ЦРТ-РЕГ-ОБР-С-ВЛОЖЕНИЕМ-НА-РАБОТУ-С-ЭТТ-ТС-0001-ОБЩЕЕ,ПИК-ИИ-РПА-0208,ВОЛГА-ЦТС-ПИК-ЭТТ-НСИ-АСУ-ЭКСПРЕСС-ОТКР-ЧБП,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06242683,30.05.2025 13:40:48,30.05.2025 13:40:48,,,сотрудник,"1,00",18.0,1,ЗАП25-05232060,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-ВОЛГА,Чашкин Леонид Борисович,Горьковская ЖД,Иванов Иван Иванович,УГЖД-ГОР,Чат бот помощник,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),ИИ-ЦРТ-РЕГ-ОБР-С-ВЛОЖЕНИЕМ-НА-РАБОТУ-С-ЭТТ-ТС-0001-ОБЩЕЕ,ПИК-ИИ-РПА-0208,ВОЛГА-ЦТС-ПИК-ЭТТ-НСИ-АСУ-ЭКСПРЕСС-ОТКР-ЧБП,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06243223,30.05.2025 13:50:18,30.05.2025 13:50:18,,,сотрудник,"1,00",18.0,1,ЗАП25-05232452,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-ВОЛГА,Чашкин Леонид Борисович,Горьковская ЖД,Иванов Иван Иванович,УГЖД-ГОР,Чат бот помощник,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),ИИ-ЦРТ-РЕГ-ОБР-С-ВЛОЖЕНИЕМ-НА-РАБОТУ-С-ЭТТ-ТС-0001-ОБЩЕЕ,ПИК-ИИ-РПА-0208,ВОЛГА-ЦТС-ПИК-ЭТТ-НСИ-АСУ-ЭКСПРЕСС-ОТКР-ЧБП,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06243406,30.05.2025 13:55:23,30.05.2025 13:55:23,,,сотрудник,"1,00",18.0,1,ЗАП25-05232575,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-ВОЛГА,Чашкин Леонид Борисович,Горьковская ЖД,Иванов Иван Иванович,УГЖД-ГОР,Чат бот помощник,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),ИИ-ЦРТ-РЕГ-ОБР-С-ВЛОЖЕНИЕМ-НА-РАБОТУ-С-ЭТТ-ТС-0001-ОБЩЕЕ,ПИК-ИИ-РПА-0208,ВОЛГА-ЦТС-ПИК-ЭТТ-НСИ-АСУ-ЭКСПРЕСС-ОТКР-ЧБП,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06244548,30.05.2025 14:17:53,30.05.2025 14:17:53,,,сотрудник,"1,00",18.0,1,ЗАП25-05233525,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-ВОЛГА,Чашкин Леонид Борисович,Горьковская ЖД,Иванов Иван Иванович,УГЖД-ГОР,Чат бот помощник,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),ИИ-ЦРТ-РЕГ-ОБР-С-ВЛОЖЕНИЕМ-НА-РАБОТУ-С-ЭТТ-ТС-0001-ОБЩЕЕ,ПИК-ИИ-РПА-0208,ВОЛГА-ЦТС-ПИК-ЭТТ-НСИ-АСУ-ЭКСПРЕСС-ОТКР-ЧБП,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06245057,30.05.2025 14:26:47,30.05.2025 14:26:47,,,сотрудник,"1,00",18.0,1,ЗАП25-05233915,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-ВОЛГА,Чашкин Леонид Борисович,Горьковская ЖД,Иванов Иван Иванович,УГЖД-ГОР,Чат бот помощник,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),ИИ-ЦРТ-РЕГ-ОБР-С-ВЛОЖЕНИЕМ-НА-РАБОТУ-С-ЭТТ-ТС-0001-ОБЩЕЕ,ПИК-ИИ-РПА-0208,ВОЛГА-ЦТС-ПИК-ЭТТ-НСИ-АСУ-ЭКСПРЕСС-ОТКР-ЧБП,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06247385,30.05.2025 15:06:58,30.05.2025 22:06:58,,,сотрудник,"1,00",18.0,1,ЗАП25-05235878,дочерний объект,Направление ЦТС ИНФР,БД-ПП,Чашкин Леонид Борисович,Дальневосточная ЖД,Иванов Иван Иванович,ДЦС6-ДВС,телефон,Ведение учетных записей,,,,09.03 ИСУЖТ НС ДНЧ,ИСУЖТ-НС-ДНЧ,направление цтс пик (бд),,,ЦТС-БД-ИСУЖТ НС ДНЧ. КОНСУЛЬТАЦИЯ ПО РАБОТЕ,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06248531,30.05.2025 15:26:31,30.05.2025 15:26:31,,,сотрудник,"1,00",18.0,1,ЗАП25-05236927,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-ВОЛГА,Чашкин Леонид Борисович,Горьковская ЖД,Иванов Иван Иванович,УГЖД-ГОР,Чат бот помощник,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),ИИ-ЦРТ-РЕГ-ОБР-С-ВЛОЖЕНИЕМ-НА-РАБОТУ-С-ЭТТ-ТС-0001-ОБЩЕЕ,ПИК-ИИ-РПА-0208,ВОЛГА-ЦТС-ПИК-ЭТТ-НСИ-АСУ-ЭКСПРЕСС-ОТКР-ЧБП,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06250706,30.05.2025 16:07:33,30.05.2025 15:07:33,,,сотрудник,"1,00",30.0,1,ЗАП25-05238881,дочерний объект,Направление ЦТС ИНФР,ИЖТ-ПП-В,Чашкин Леонид Борисович,Калининградская ЖД,Иванов Иван Иванович,ВЧД-КАЛИНИНГРАД-КЛГ,Чат бот помощник,Технологическая консультация в рамках инструкции,,,,06.05 АСУ ТОР ЭК,ТОРО-П,направление цтс пик (вх),ИИ-ЦРТ-ТОРО-П-КОНСУЛЬТАЦИЯ-ТС-0001-ОБЩЕЕ,ПИК-ИИ-РПА-0304,ЦТС-ПИК-ТОРО-П-КОНСУЛЬТАЦИЯ,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06251685,30.05.2025 16:55:48,30.05.2025 16:55:48,,,сотрудник,"1,00",16.0,1,ЗАП25-05239668,дочерний объект,Направление ЦТС ИНФР,ИЖТ-ПП-РЕМ,Чашкин Леонид Борисович,Октябрьская ЖД,Иванов Иван Иванович,ДЦС-2-СПБ-ОКТ,телефон,Установка/Настройка АС на РМ,,,да,06.03 АСУВОП-3,АСУВОП-3,направление цтс пик (рем),ИИ-ЦРТ-АСУВОП-3-ТС-0002-ОБЩЕЕ,ПИК-ИИ-РПА-0055,ЦТС-ИНФР-КОНСУЛЬТАЦИЯ ПО АСУВОП-3,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06251694,30.05.2025 16:54:47,30.05.2025 16:54:47,,10.200.11.60,сотрудник,"1,00",55.0,1,ЗАП25-05239705,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-МСК,Чашкин Леонид Борисович,Центр,Иванов Иван Иванович,КСУП-ОТДЕЛ-ГВЦ,веб-форма,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,БРП-АСУ-ЭКСПРЕСС-НП,направление цтс пик (пасс-экспресс),,,,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06254340,30.05.2025 19:36:08,30.05.2025 19:36:08,,,сотрудник,"0,50",20.0,1,ЗАП25-05242194,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-СЗ,Чашкин Леонид Борисович,Октябрьская ЖД,Иванов Иван Иванович,СЗ-ФПК-ОКТ,электронная почта,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),,,ОКТ-ВВОД НСИ В АСУ ЭКСПРЕСС-3,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06254340,30.05.2025 19:36:08,30.05.2025 19:36:08,,,сотрудник,"0,50",20.0,2,ЗАП25-05256537,связанный наряд,Направление ЦТС ПАСС,ПАСС-НСИ-СЗ,Чашкин Леонид Борисович,Октябрьская ЖД,Иванов Иван Иванович,СЗ-ФПК-ОКТ,,-,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),,,,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06254355,30.05.2025 19:39:05,30.05.2025 19:39:05,,,сотрудник,"0,59",29.0,1,ЗАП25-05242202,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-СЗ,Чашкин Леонид Борисович,Октябрьская ЖД,Иванов Иван Иванович,СЗ-ФПК-ОКТ,электронная почта,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),,,ОКТ-ВВОД НСИ В АСУ ЭКСПРЕСС-3,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06254355,30.05.2025 19:39:05,30.05.2025 19:39:05,,,сотрудник,"0,41",20.0,2,ЗАП25-05256538,связанный наряд,Направление ЦТС ПАСС,ПАСС-НСИ-СЗ,Чашкин Леонид Борисович,Октябрьская ЖД,Иванов Иван Иванович,СЗ-ФПК-ОКТ,,-,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),,,,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06255045,30.05.2025 20:48:08,30.05.2025 20:48:08,,,сотрудник,"0,59",29.0,1,ЗАП25-05242842,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-СЗ,Чашкин Леонид Борисович,Октябрьская ЖД,Иванов Иван Иванович,СЗ-ФПК-ОКТ,электронная почта,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),,,ОКТ-ВВОД НСИ В АСУ ЭКСПРЕСС-3,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06255045,30.05.2025 20:48:08,30.05.2025 20:48:08,,,сотрудник,"0,41",20.0,2,ЗАП25-05256535,связанный наряд,Направление ЦТС ПАСС,ПАСС-НСИ-СЗ,Чашкин Леонид Борисович,Октябрьская ЖД,Иванов Иван Иванович,СЗ-ФПК-ОКТ,,-,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),,,,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06257904,31.05.2025 0:59:06,31.05.2025 0:59:06,,,сотрудник,"1,00",25.0,1,ЗАП25-05244536,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-СЗ,Чашкин Леонид Борисович,Октябрьская ЖД,Иванов Иван Иванович,СЗ-ФПК-ОКТ,электронная почта,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),,,ОКТ-ВВОД НСИ В АСУ ЭКСПРЕСС-3,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06257905,31.05.2025 0:59:07,31.05.2025 0:59:07,,,сотрудник,"0,59",29.0,1,ЗАП25-05244537,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-СЗ,Чашкин Леонид Борисович,Октябрьская ЖД,Иванов Иван Иванович,СЗ-ФПК-ОКТ,электронная почта,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),,,ОКТ-ВВОД НСИ В АСУ ЭКСПРЕСС-3,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06257905,31.05.2025 0:59:07,31.05.2025 0:59:07,,,сотрудник,"0,41",20.0,2,ЗАП25-05256855,связанный наряд,Направление ЦТС ПАСС,ПАСС-НСИ-СЗ,Чашкин Леонид Борисович,Октябрьская ЖД,Иванов Иван Иванович,СЗ-ФПК-ОКТ,,-,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),,,,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06262917,01.06.2025 20:47:10,01.06.2025 20:47:10,,10.32.46.237,RPA,"1,00",13.0,1,ЗАП25-05264387,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Октябрьская ЖД,Иванов Иван Иванович,ДЦС-6-ОКТ,веб-форма,Ведение учетных записей,,,,06.01 ЕК АСУИ ДУ-46,ЕК-АСУИ-ДУ-46,направление цтс пик (инфр),РПА-РОБИН-ГВЦ-ЕКАСУИ-ПЭП-ТС-0003-ОБЩЕЕ,ЦТС-ПИК-0001,ЦТС-ИНФР-ЕК АСУИ ДУ-46. ПРИВЯЗКА ЭЛЕКТРОННОЙ ПОДПИСИ (ПЭП) К УЧЕТНОЙ ЗАПИСИ ПОЛЬЗОВАТЕЛЯ,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06264168,31.05.2025 9:21:07,31.05.2025 9:21:07,01.06.2025 16:06:05,,сотрудник,"1,00",,1,ЗАП25-05250473,дочерний объект,Направление ЦТС ИНФР,ИЖТ-ПП-ИНФР,Чашкин Леонид Борисович,Октябрьская ЖД,Иванов Иван Иванович,ДЦС-3-ОКТ,электронная почта,,,,,06.01 ЕК АСУИ ДУ-46,ЕК-АСУИ-ДУ-46,направление цтс пик (инфр),,,"ЦТС-ИНФР-КОНСУЛЬТАЦИЯ ПО СОЗДАНИЮ, ПРИМЕНЕНИЮ МАКЕТОВ",0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06264590,31.05.2025 10:15:08,31.05.2025 10:15:08,,,сотрудник,"1,00",32.0,1,ЗАП25-05250620,дочерний объект,Направление ЦК ИП,ИП-ПП,Чашкин Леонид Борисович,Октябрьская ЖД,Иванов Иван Иванович,ДЦС-6-ОКТ,телефон,Ведение учетных записей,,,,10.09 АРМ КП ЭДО,КП-ЭДО-НП,направление цтс пик (ип),,,ЦК-ИП-КОНСУЛЬТАЦИЯ ПО ПОДПИСАНИЮ ДУ-2/ДУ-3 В КП ЭДО НП,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06265336,31.05.2025 12:05:42,31.05.2025 12:05:42,,,сотрудник,"1,00",24.0,1,ЗАП25-05251367,дочерний объект,Направление ЦТС ИНФР,БД-ПП,Чашкин Леонид Борисович,Куйбышевская ЖД,Иванов Иван Иванович,ДЦС-САМАРСКИЙ-КБШ,телефон,Технологическая консультация в рамках инструкции,,,,09.03 ИСУЖТ НС ТРА,ИСУЖТ-НС-ТРА,направление цтс пик (бд),,,ЦТС-БД-КОНСУЛЬТАЦИЯ ПО ИСУЖТ НС ТРА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06266354,31.05.2025 15:00:51,31.05.2025 17:00:51,,,сотрудник,"1,00",65.0,1,ЗАП25-05252129,дочерний объект,Направление ЦТС ИНФР,ИЖТ-ПП-В,Чашкин Леонид Борисович,Свердловская ЖД,Иванов Иван Иванович,ВЧДЭ-4-СВРД,телефон,Технологическая консультация в рамках инструкции,,,,06.05 АСУ ТОР ЭК,АРМ-МАСТЕРА-ТОР,направление цтс пик (вх),,,ЦТС-ИНФР-АСУ ТОР ЭК. ШАБЛОН ДЛЯ ОПЕРАТОРА КЦ,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06266447,31.05.2025 15:27:14,31.05.2025 18:27:14,,,сотрудник,"1,00",65.0,1,ЗАП25-05252294,дочерний объект,Направление ЦТС ИНФР,ИЖТ-ПП-В,Чашкин Леонид Борисович,Западно-Сибирская ЖД,Иванов Иван Иванович,ВЧД-23-БЕЛОВО-ЗСИБ,телефон,Методологический вопрос,,,,06.05 АСУ ТОР ЭК,АРМ-МАСТЕРА-ТОР,направление цтс пик (вх),,,ЦТС-ИНФР-ПРОЧИЕ ВОПРОСЫ ПО АСУ ТОР ЭК,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06266464,31.05.2025 15:21:09,31.05.2025 17:21:09,,,сотрудник,"1,00",65.0,1,ЗАП25-05252275,дочерний объект,Направление ЦТС ИНФР,ИЖТ-ПП-В,Чашкин Леонид Борисович,Свердловская ЖД,Иванов Иван Иванович,ВЧДЭ-11-СВРД,Чат бот помощник,Методологический вопрос,,,,06.05 АСУ ТОР ЭК,АРМ-МАСТЕРА-ТОР,направление цтс пик (вх),ИИ-ЦРТ-АСУ-ТОР-ЭК-УДАЛЕНИЕ-ОТЦЕПОК-ТС-0016-ОБЩЕЕ,ПИК-ИИ-РПА-0319,ЦТС-ПИК-АСУТОРЭК-УДАЛЕНИЕ-ОТЦЕПОК-ОТКР-ЧБП,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06266476,31.05.2025 15:23:33,31.05.2025 21:23:33,,,сотрудник,"1,00",18.0,1,ЗАП25-05252300,дочерний объект,Направление ЦТС ИНФР,БД-ПП,Чашкин Леонид Борисович,Забайкальская ЖД,Иванов Иван Иванович,ДЦСБОРЗЯ-ЗАБ,Чат бот помощник,Ведение учетных записей,,,,09.03 ИСУЖТ НС ДНЧ,ИСУЖТ-НС-ДНЧ,направление цтс пик (бд),,,,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06266933,31.05.2025 16:50:09,31.05.2025 16:50:09,,,сотрудник,"0,73",55.0,1,ЗАП25-05252658,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-СЗ,Чашкин Леонид Борисович,Октябрьская ЖД,Иванов Иван Иванович,СЗЖА-ОКТ,электронная почта,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),,,ОКТ-ВВОД НСИ В АСУ ЭКСПРЕСС-3,0,0,Краткое описание запроса,Подробное описание запроса,Решение
